,Country,Mental Health,Country Code,Total Pop,Companies,primarySE,secondarySE,tertiarySE,GDP,Young,No,Country or Area,M49 Code,Region 1,Region 2,Continent,MH size,School Enrollment,Schools,Universities
37,Dominican Republic,10.172,DOM,10738958.0,60940.0,120.790626525879,81.5932922363281,61.1612319946289,8282.11713050921,0.277086938974899,68,Dominican Republic,214,Caribbean,Latin America and the Caribbean,North America,1092.0,1.0119195938110355,5018.0,227.0
38,Ecuador,8.195,ECU,17373662.0,0.0,130.477890014648,104.861503601074,47.9452285766602,6222.52465327248,0.277069681682538,69,Ecuador,218,South America,Latin America and the Caribbean,South America,1424.0,1.1766969680786101,9440.0,288.0
39,Egypt,7.1030000000000015,EGY,100388073.0,63044.0,106.409561157227,89.4806823730469,38.9049491882324,3019.09228346646,0.33834830159554896,70,Egypt,818,Northern Africa,,Africa,7131.0,0.9794512176513694,55447.0,1652.0
40,El Salvador,3.263,SLV,6453553.0,19201.0,123.495819091797,77.1675720214844,29.9244194030762,4167.73093878563,0.26858445262632796,71,El Salvador,222,Central America,Latin America and the Caribbean,North America,211.0,1.0033169555664072,2898.0,65.0
41,Equatorial Guinea,6.296,GNQ,1355986.0,0.0,177.581527709961,27.1885795593262,4.81032991409302,8380.74112238766,0.369567974890596,72,Equatorial Guinea,226,Middle Africa,Sub-Saharan Africa,Africa,85.0,1.023850536346436,855.0,3.0
42,Estonia,46.663999999999994,EST,1326590.0,152849.0,114.422073364258,116.87474822998,74.2319869995117,23397.8782560944,0.164632692841539,74,Estonia,233,Northern Europe,,Europe,619.0,1.15648410797119,421.0,20.0
43,Eswatini,9.705,SWZ,1148130.0,21458.0,124.907188415527,82.4122085571289,7.72674989700317,3889.85122575483,0.37831430238735997,75,Eswatini,748,Southern Africa,Sub-Saharan Africa,Africa,111.0,1.0365969848632794,750.0,4.0
44,Ethiopia,1.163,ETH,112078730.0,76803.0,119.402976989746,37.5771408081055,10.488169670105,855.760885186903,0.40336441178446597,76,Ethiopia,231,Eastern Africa,Sub-Saharan Africa,Africa,1303.0,0.7849005889892575,59140.0,593.0
45,Fiji,2.801,FJI,889953.0,2441.0,117.522560119629,94.1607818603516,53.4931602478027,6175.8906526556,0.292936818011738,79,Fiji,242,Melanesia,,Oceania,25.0,1.058416709899903,460.0,17.0
46,Finland,187.796,FIN,5520314.0,129789.0,102.637199401855,154.820236206055,94.9199295043945,48628.641762105,0.160163415492983,80,Finland,246,Northern Europe,,Europe,10367.0,1.2872871780395498,1897.0,105.0
